collection,iso3_country,event_count,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count
gfd-events, URY,24,,ifrcevent-events,GRC,9,,,glide-events,CAF,46,,,idmc-gidd-events,PNG,28,,,,,,,idmc-idu-events,BEN,7,,pdc-events,BTN,17,,gdacs-events,LSO,6,,emdat-events,GNB,33,,,,
gfd-events,MOZ,7,,ifrcevent-events,SRB,15,,,glide-events,GIN,36,,,idmc-gidd-events,MNG,19,,,,,,,idmc-idu-events,MDV,13,,pdc-events,BRN,3,,gdacs-events,JOR,5,,emdat-events,SLE,50,,,,
gfd-events, ZWE,21,,ifrcevent-events,ITA,5,,,glide-events,MLI,30,,,idmc-gidd-events,BFA,5,,,,,,,idmc-idu-events,REU,3,,pdc-events,LIE,6,,gdacs-events,SAU,32,,emdat-events,TUN,70,,,,
gfd-events, MYS,21,,ifrcevent-events,MWI,16,,,glide-events,CHL,46,,,idmc-gidd-events,PAK,164,,,,,,,idmc-idu-events,MUS,8,,pdc-events,MNG,35,,gdacs-events,EGY,13,,emdat-events,HTI,191,,,,
gfd-events, THA,51,,ifrcevent-events,SVN,2,,,glide-events,UZB,9,,,idmc-gidd-events,BEL,9,,,,,,,idmc-idu-events,FJI,24,,pdc-events,NER,58,,gdacs-events,SYR,13,,emdat-events,VUT,52,,,,
gfd-events, SGP,15,,ifrcevent-events,GNQ,2,,,glide-events,JAM,19,,,idmc-gidd-events,AFG,48,,,,,,,idmc-idu-events,GBR,52,,pdc-events,BFA,23,,gdacs-events,PSE,1,,emdat-events,GRC,162,,,,
gfd-events, NER,14,,ifrcevent-events,TUR,12,,,glide-events,VCT,16,,,idmc-gidd-events,SEN,2,,,,,,,idmc-idu-events,BWA,7,,pdc-events,NOR,18,,gdacs-events,KHM,129,,emdat-events,MYT,4,,,,
gfd-events, BEN,10,,ifrcevent-events,IRN,10,,,glide-events,GRD,5,,,idmc-gidd-events,ROU,6,,,,,,,idmc-idu-events,AZE,8,,pdc-events,SWE,37,,gdacs-events,LAO,462,,emdat-events,UGA,151,,,,
gfd-events,ZAF,14,,ifrcevent-events,TTO,2,,,glide-events,CPV,6,,,idmc-gidd-events,CUB,6,,,,,,,idmc-idu-events,IRL,9,,pdc-events,BLR,16,,gdacs-events,GEO,21,,emdat-events,CRI,83,,,,
gfd-events, MOZ,12,,ifrcevent-events,CAF,32,,,glide-events,SLV,43,,,idmc-gidd-events,DZA,24,,,,,,,idmc-idu-events,ATF,1,,pdc-events,DNK,18,,gdacs-events,TCA,4,,emdat-events,NLD,66,,,,
gfd-events, LSO,4,,ifrcevent-events,TGO,12,,,glide-events,LBR,19,,,idmc-gidd-events,UKR,9,,,,,,,idmc-idu-events,POL,5,,pdc-events,LVA,16,,gdacs-events,MEX,484,,emdat-events,GAB,19,,,,
gfd-events, SWZ,4,,ifrcevent-events,LBN,4,,,glide-events,CYP,9,,,idmc-gidd-events,CAF,39,,,,,,,idmc-idu-events,MYT,3,,pdc-events,GRL,38,,gdacs-events,GTM,124,,emdat-events,IRL,32,,,,
gfd-events, ETH,16,,ifrcevent-events,THA,3,,,glide-events,NER,59,,,idmc-gidd-events,AUT,11,,,,,,,idmc-idu-events,SWZ,9,,pdc-events,EST,16,,gdacs-events,OMN,28,,emdat-events,GBR,190,,,,
gfd-events, AFG,24,,ifrcevent-events,BGR,4,,,glide-events,DEU,19,,,idmc-gidd-events,SVN,9,,,,,,,idmc-idu-events,CRI,43,,pdc-events,VUT,7,,gdacs-events,AZE,15,,emdat-events,NIC,87,,,,
gfd-events,UKR,7,,ifrcevent-events,BEN,22,,,glide-events,BFA,36,,,idmc-gidd-events,PRY,16,,,,,,,idmc-idu-events,SJM,1,,pdc-events,KEN,8,,gdacs-events,TGO,18,,emdat-events,SLV,75,,,,
gfd-events, SVK,13,,ifrcevent-events,LAO,7,,,glide-events,PNG,67,,,idmc-gidd-events,BLR,4,,,,,,,idmc-idu-events,ZWE,22,,pdc-events,UGA,5,,gdacs-events,MAR,64,,emdat-events,BLZ,26,,,,
gfd-events, HUN,13,,ifrcevent-events,GMB,8,,,glide-events,NAM,27,,,idmc-gidd-events,MHL,4,,,,,,,idmc-idu-events,MOZ,23,,pdc-events,DOM,3,,gdacs-events,MRT,20,,emdat-events,CUB,119,,,,
gfd-events,GBR,12,,ifrcevent-events,GEO,14,,,glide-events,TKM,2,,,idmc-gidd-events,AB9,4,,,,,,,idmc-idu-events,TCD,32,,pdc-events,VGB,7,,gdacs-events,BEL,23,,emdat-events,JAM,55,,,,
